pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta
¿Cuál es la capital de Argentina?,Córdoba,Rosario,Buenos Aires,Palermo,Buenos Aires
¿Cuántas veces ganó la selección Argentina el mundial de futbol?,2,0,5,3,2
¿En qué años ganó Argentina el mundial de futbol?,1982 y 1986,1978 y 1990,1974 y 1970,1978 y 1986,1978 y 1986
¿En qué año nació San Martín?,1778,1814,1733,1878,1778
¿A quién se considera el padre del psicoanálisis?,Breuer,Lacan,Freud,Frankl,Freud
¿Cuántos títulos mundiales ganó Juan Manuel Fangio?,2,3,5,6,5
¿Cuántas temporadas tiene la serie FRIENDS?,5,10,12,20,10

¿Cuántos huesos tiene el cuerpo humano en una persona adulta?,174,206,323,234,206

¿Quién fue el creador de la red social facebook?,Elon Musk,Steve Jobs,Mark Zuckerberg,Bill Gates,Mark Zuckerberg

"¿Quién es el actor que protagonizó la película ""Duro de Matar""?,Bruce Willis,Tom Cruise,Harrison Ford,Bruce Wane,Bruce Willis"

¿En qué año se hundió el Titanic?,1879,1904,1912,1952,1912

"¿Cómo se llama el mago bueno en la película ""El señor de los anillos""?,Harry Potter,Gollum,Frodo,Gandalf,Gandalf"

¿Cuál de las siguientes ciudades es la capital de Haití?,Porto Belo,Puerto Príncipe,Santo Domingo,Philipsburg,Puerto Príncipe

¿Cuál de los siguientes actores nunca interpretó a Batman?,Christian Bale,Ben Affleck,Matthew McConaughey,Val Kilmer,Matthew McConaughey

¿Cuál es el río más largo del mundo?,Río de la Plata,Río Nilo,Amazonas,Misisipi,Amazonas
¿Cuál de las siguientes ciudades de Argentina no es capital de su provincia?,Mendoza,Río Gallegos,Rawson,Rosario,Rosario
¿Cuál de los siguientes países NO forma parte del MERCOSUR?,Chile,Brasil,Paraguay,Uruguay,Chile
¿Cuál de los siguientes países NO forma parte de la Unión Europea?,Hungría,Suiza,Lituania,Rumania,Suiza
¿Cuál de las siguientes películas NO contiene escenas grabadas en Argentina?,Focus,The Revenant,Indiana Jones and the Kingdom of the Crystal Skull,Wolverine,Wolverine
